GeoFips,GeoName,2008,2009,2010,2011,2012
31860,"Mankato-North Mankato, MN (Metropolitan Statistical Area)",95121,96111,96806,97280,98008
,,,,,,
31900,"Mansfield, OH (Metropolitan Statistical Area)",126128,125308,124175,123096,122585
,,,,,,
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",736694,757468,779271,794521,805975
,,,,,,
32780,"Medford, OR (Metropolitan Statistical Area)",201162,202301,203428,204800,206512
,,,,,,
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1310829,1317719,1326595,1332853,1340739
,,,,,,
32900,"Merced, CA (Metropolitan Statistical Area)",250538,252302,256752,259620,261632
,,,,,,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",5454633,5504624,5581524,5688307,5763282
,,,,,,
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",111267,111465,111404,111205,111197
,,,,,,
33220,"Midland, MI (Metropolitan Statistical Area)",83605,83639,83658,84048,83945
,,,,,,
33260,"Midland, TX (Metropolitan Statistical Area)",137060,140948,141770,144919,151809
,,,,,,
33340,"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",1538232,1549613,1556549,1561108,1566182
,,,,,,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3301252,3330508,3355167,3388716,3422417
,,,,,,
33540,"Missoula, MT (Metropolitan Statistical Area)",107747,108717,109426,110162,111103
,,,,,,
33660,"Mobile, AL (Metropolitan Statistical Area)",409196,411994,413290,412989,413590
,,,,,,
33700,"Modesto, CA (Metropolitan Statistical Area)",509032,511536,515281,517849,521450
,,,,,,
33740,"Monroe, LA (Metropolitan Statistical Area)",174425,175667,176733,177366,177755
,,,,,,
33780,"Monroe, MI (Metropolitan Statistical Area)",152806,152296,151915,151532,150923
,,,,,,
33860,"Montgomery, AL (Metropolitan Statistical Area)",370249,371860,375208,377939,375821
,,,,,,
34060,"Morgantown, WV (Metropolitan Statistical Area)",125267,127498,130332,132314,134467
,,,,,,
34100,"Morristown, TN (Metropolitan Statistical Area)",113115,113618,114072,114607,114908
,,,,,,
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",115808,116557,116972,117781,118056
,,,,,,
34620,"Muncie, IN (Metropolitan Statistical Area)",117007,117490,117672,117804,117423
,,,,,,
34740,"Muskegon, MI (Metropolitan Statistical Area)",173846,172755,171923,169967,170112
,,,,,,
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",363866,371417,378654,385817,394221
,,,,,,
34900,"Napa, CA (Metropolitan Statistical Area)",134093,135280,136780,137883,138916
,,,,,,
34940,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",316641,318485,322680,327712,332528
,,,,,,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",1626925,1654243,1675945,1698160,1726759
,,,,,,
35100,"New Bern, NC (Metropolitan Statistical Area)",122491,125202,127101,128205,128588
,,,,,,
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",856622,860025,863380,863761,863604
,,,,,,
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1135831,1167842,1195757,1213957,1227656
,,,,,,
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",19338823,19469123,19596183,19731844,19837753
,,,,,,
35660,"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",157380,157059,156781,156414,155946
,,,,,,
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",695944,697973,703545,708936,719919
,,,,,,
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",272634,273630,274105,274033,274534
,,,,,,
36100,"Ocala, FL (Metropolitan Statistical Area)",330052,330880,331527,332588,335157
,,,,,,
