GeoFips,GeoName,2001,2002,2003,2004,2005
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",196420,202688,209043,213854,219086
,,,,,,
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",336409,341231,342865,349745,357533
,,,,,,
28700,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",298648,299267,300370,300668,302519
,,,,,,
28740,"Kingston, NY (Metropolitan Statistical Area)",178440,180128,180942,181847,182438
,,,,,,
28940,"Knoxville, TN (Metropolitan Statistical Area)",756459,763352,772111,780124,790669
,,,,,,
29020,"Kokomo, IN (Metropolitan Statistical Area)",84909,84563,84538,84291,84382
,,,,,,
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",127624,128261,128780,128992,129549
,,,,,,
29180,"Lafayette, LA (Metropolitan Statistical Area)",426750,430358,432900,436018,439936
,,,,,,
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",180706,181781,183621,184996,188023
,,,,,,
29340,"Lake Charles, LA (Metropolitan Statistical Area)",193171,193321,194552,195444,196263
,,,,,,
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",160312,166155,172633,180521,188773
,,,,,,
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",492917,501469,513058,527685,547373
,,,,,,
29540,"Lancaster, PA (Metropolitan Statistical Area)",475483,480118,485119,489977,494722
,,,,,,
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",452051,455420,458376,461724,462743
,,,,,,
29700,"Laredo, TX (Metropolitan Statistical Area)",200347,206001,211786,217858,223703
,,,,,,
29740,"Las Cruces, NM (Metropolitan Statistical Area)",176496,178464,182045,184939,189199
,,,,,,
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",1460500,1522962,1584166,1662773,1729522
,,,,,,
29940,"Lawrence, KS (Metropolitan Statistical Area)",101269,102552,103570,104826,105681
,,,,,,
30020,"Lawton, OK (Metropolitan Statistical Area)",119955,119889,117484,122341,121475
,,,,,,
30140,"Lebanon, PA (Metropolitan Statistical Area)",120954,121698,123154,124644,126197
,,,,,,
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",57446,57601,58183,58581,58979
,,,,,,
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",104260,105063,106140,106867,107352
,,,,,,
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",414520,418448,424953,430229,436898
,,,,,,
30620,"Lima, OH (Metropolitan Statistical Area)",108523,108518,107418,106826,106861
,,,,,,
30700,"Lincoln, NE (Metropolitan Statistical Area)",271237,274972,279194,281768,285469
,,,,,,
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",618126,624166,631032,639558,648784
,,,,,,
30860,"Logan, UT-ID (Metropolitan Statistical Area)",104294,107180,108819,110813,112580
,,,,,,
30980,"Longview, TX (Metropolitan Statistical Area)",195374,197750,199547,201231,203062
,,,,,,
31020,"Longview, WA (Metropolitan Statistical Area)",93608,94325,94516,95541,96536
,,,,,,
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",12511491,12614158,12696521,12734974,12726428
,,,,,,
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",1132204,1140281,1151726,1161921,1172611
,,,,,,
31180,"Lubbock, TX (Metropolitan Statistical Area)",260015,262680,266338,268466,270478
,,,,,,
31340,"Lynchburg, VA (Metropolitan Statistical Area)",229499,230356,232634,234574,238515
,,,,,,
31420,"Macon, GA (Metropolitan Statistical Area)",222869,224661,225987,227394,228125
,,,,,,
31460,"Madera, CA (Metropolitan Statistical Area)",125581,128369,132738,137106,140313
,,,,,,
31540,"Madison, WI (Metropolitan Statistical Area)",544773,552305,559138,566363,573036
,,,,,,
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",387414,389665,391461,394428,396381
,,,,,,
31740,"Manhattan, KS (Metropolitan Statistical Area)",81374,81205,81847,83411,84195
,,,,,,
31860,"Mankato-North Mankato, MN (Metropolitan Statistical Area)",87105,88107,89336,90152,91111
,,,,,,
31900,"Mansfield, OH (Metropolitan Statistical Area)",128187,128363,128312,128094,127724
,,,,,,
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",590067,610520,632475,653779,674982
,,,,,,
32780,"Medford, OR (Metropolitan Statistical Area)",183835,186704,189838,192185,194701
,,,,,,
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1224627,1235125,1247414,1258948,1271965
,,,,,,
32900,"Merced, CA (Metropolitan Statistical Area)",218816,225351,231735,237180,242554
,,,,,,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",5110780,5197205,5261713,5336368,5411148
,,,,,,
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",110077,109555,109027,108914,109541
,,,,,,
33220,"Midland, MI (Metropolitan Statistical Area)",83576,83664,84012,84058,83930
,,,,,,
33260,"Midland, TX (Metropolitan Statistical Area)",120877,122371,123717,125144,126963
,,,,,,
33340,"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",1507257,1514251,1519746,1522302,1522391
,,,,,,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3086645,3116197,3143413,3171902,3199046
,,,,,,
33540,"Missoula, MT (Metropolitan Statistical Area)",97435,98968,99976,100934,102298
,,,,,,
33660,"Mobile, AL (Metropolitan Statistical Area)",400129,398549,398082,397959,398942
,,,,,,
33700,"Modesto, CA (Metropolitan Statistical Area)",463761,477469,487357,492613,500020
,,,,,,
33740,"Monroe, LA (Metropolitan Statistical Area)",169572,170352,171306,171969,172241
,,,,,,
33780,"Monroe, MI (Metropolitan Statistical Area)",147605,148561,149747,151117,152374
,,,,,,
33860,"Montgomery, AL (Metropolitan Statistical Area)",348725,350984,352411,355009,358659
,,,,,,
34060,"Morgantown, WV (Metropolitan Statistical Area)",112764,114343,116466,118062,119937
,,,,,,
34100,"Morristown, TN (Metropolitan Statistical Area)",103821,103919,105291,106314,107703
,,,,,,
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",104534,105563,107369,109030,110683
,,,,,,
34620,"Muncie, IN (Metropolitan Statistical Area)",120281,119949,119935,118938,118170
,,,,,,
34740,"Muskegon, MI (Metropolitan Statistical Area)",171055,171563,172269,172771,173608
,,,,,,
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",277987,284862,292309,302421,317745
,,,,,,
34900,"Napa, CA (Metropolitan Statistical Area)",126818,128744,130138,130387,130381
,,,,,,
34940,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",264240,275490,285321,296021,307452
,,,,,,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",1409191,1427867,1450015,1478449,1511310
,,,,,,
35100,"New Bern, NC (Metropolitan Statistical Area)",116388,115664,115776,116520,117787
,,,,,,
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",829875,835099,841939,844505,847162
,,,,,,
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1344528,1354638,1365146,1377699,1386429
,,,,,,
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",19109150,19195261,19248311,19253664,19227714
,,,,,,
35660,"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",161153,160604,160314,159742,158510
,,,,,,
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",605988,620540,634862,653934,674757
,,,,,,
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",261396,264698,266584,268595,269664
,,,,,,
36100,"Ocala, FL (Metropolitan Statistical Area)",264553,271716,280091,291164,303558
,,,,,,
36140,"Ocean City, NJ (Metropolitan Statistical Area)",102023,101694,101710,100482,99269
,,,,,,
36220,"Odessa, TX (Metropolitan Statistical Area)",120802,122199,122739,124163,125378
,,,,,,
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",495459,504247,513021,522374,532425
,,,,,,
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",1108860,1122241,1134419,1145524,1161308
,,,,,,
36500,"Olympia-Tumwater, WA (Metropolitan Statistical Area)",212421,216313,219499,222985,227023
,,,,,,
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",776165,783567,792086,803214,814309
,,,,,,
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",1710359,1760345,1811544,1878077,1955794
,,,,,,
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",158163,159134,159440,160130,161451
